,0
587,"Gina ’ s place is the most beautiful and peaceful in Ghana . We enjoyed the food , the clean and amazing houses , the great hospitality and very friendly staff . Tonny and Anita are taking good care for their guests . The beach in Busua is absolutely clean , surfing is perfect ! Thanks a lot for all !"
588,IT IS a great place to stay . Gina cooks awesome what ever You Like . She is a lovely Woman . She makes You feel Like Home . Also a save place with Nice people artround . Simple a very good place to relaxe ! ! ! ! And also very Clean . I Loved IT Nat
589,"Beautifully located small resort with six round chalets ( 1 - 2 persons each ) with superb ocean views . An ideal place to just relax and enjoy the nice , quiet scenery at daytime with nothing but the breaking waves of the ocean and the crickets to hear at night . Nice , wide sandy beach is accessible within minutes by foot . The resort is in good condition ( rooms with restroom and shower , moscito screens , fan , fridge , safe ) , especially considering that the place is in the heart of real Africa . The owner and her personnel are warm and very friendly and will do everything to accommodate your needs and make your stay a pleasant one . Even if you come for only a short stay , by no means miss the excellent cuisine ; the owner and her assistant will prepare very tasty , freshly made breakfasts , lunch or dinner in local and / or international style . Full recommendation ! Eine wunderschöne kleine Anlage mit sechs runden Zimmern im Bungalowstil ( für je 1 - 2 Personen ) mit herrlichem Ozeanblick . Ideal , um einfach mal auszuspannen und die schöne , ruhige Landschaft bei Tag und nichts als Meeresbrandung und Grillenzirpen bei Nacht zu genießen . Herrlicher , breiter Sandstrand zu Fuß in wenigen Minuten erreichbar . Die Anlage ist in gutem Zustand ( Zimmer mit Dusche und WC , Mückenschutz , Ventilator , Kühlschrank , Safe ) , insbesondere wenn man bedenkt , im Herzen des wahren Afrikas zu sein . Die Leitung und das Personal sind sehr freundlich , die Atmosphäre familiär und alles wird getan , den Wünschen des Gastes entgegenzukommen und den Aufenthalt angenehm zu gestalten . Auch wenn man nur kurz bleiben sollte , darf man die sehr gute Küche nicht auslassen . Die Managerin und ihre Assistentin bereiten alle Mahlzeiten ( Frühstück , Mittag - und Abendessen ) frisch und sehr schmackhaft zu , egal ob afrikanische oder europäische Gerichte . Sehr empfehlenswert !"
590,"Wonderful gem , hidden away from the bustle , overlooking the ocean . A paradise for real , and Mama Gina makes sure it stays that way . She goes out of her way to make us feel at home . Every meal is home cooked and fresh . Sit under the canopies , gaze into the ocean and just relax : )"
591,Great place to relax with a fantastic view directly by the ocean . Clean and comfortable huts . Friendly and perfekt service . Best Food around . Real Coffee and fresh juices . A place to feel like home .
592,""" Good beach . Hotel outdated . "" One of the best beaches in Ghana , clean white sand and good natural views . The staff was nice and the food was decent , but the service was usually slow . If you ' re considering order lunch to be brought to you in the beach , do it 2 hours in advance . The rooms were confortable , but outdated . Forget the pool . . ."
593,"A quiet place by the beach with a million dollar sea view and clean huts , great food where you can unwind and hide away from the busy city life . Friendly staff , good hostess ! A place that stresses that the beautiful tjings in life shouldn ' t always be expensive"
594,The place is a total waste . The place is very dirty and mosquitoes infested . The authorities should simply close down the facility .
595,There rooms needs to be well furnished to be a normal standard room
596,It ' s good for a low budget guys . Their services are okay too . My first point of call anytime I ' m visiting Cape Coast .
597,It was very good
598,The room I went in was not good at all some of the plugs wet not working . . IN their rooms need renovation
599,"Jangels Hotel is a small place but it will work for you perfectly for that short stay , 
 From the point of students and academics purposes and low budget this is an ok place . 
 It ’ s quite a low class place but due to its location near or on campus makes it easy for one to avoid moving long distances in order to save time and avoid stress if one needs to be close by for campus and surrounding activities . 
 I wonder why they are invisible when I was searching for ‘ hotels close by ’ online , 
 Hope they do something about it to enable easy and quick online visibility ."
600,Very close to Cape Coast stadium
601,Good
602,"The hotel was good , but wasn ' t that good . Anyhow , I was happy to get a place to lodge"
603,"Nice rooms , cool rate n friendly staffs"
604,Their customer service was good . The waiters and receptionist are very friendly and humble
605,Not a fancy hotel though but their hospitality is not bad . Jangels is opposite the Cape Coast Stadium . The rooms are not bad but prices are a bit high .
606,Good place
607,Best Place To Be For A Vacation Or Overnight Stay . Love It
608,The place is nice to visit
609,I just love the natural environment it provides
610,It ' s a comfortable place to stay
611,Serene environment You ' ll never regret going there
612,Wow ! exact location i have been
613,Very poor service by staff with some flimsy excuses .
614,Great weekend place
615,It was a great place with good environment .
616,Very friendly
617,Great place for a thrift budget .
618,Great
619,"Safe , clean and serene . Warm reception from in - house staff . Comfortable and spacious rooms with air - conditioning , cable tv facilities available . Hot water option available in al comfortable bath rooms . Water and electricity are all set . As a guest , i was able order for food with my choice as priority . An open air roof top is perfect for your relaxation . A well - stocked mini bar with all your beverages available chilled . Located in a quiet neighbourhood , it ' s a good place to lodge when you visit Cape Coast . An"
620,Great
621,Nice n cool place
622,Very interesting place to be
623,Nice
624,Nice place
625,It is a very nice place to spend quality evening and time with your partner . Quiet location . I love it
626,Serene environment
627,Very serene environment n nice view . good hideout
628,Not be inside before
629,"Though old and mosquito ridden due to closeness to lagoon , the view is nice and the staff are kind and considerate . Really quiet and non intrusive location . Also all promised amenities work . Like water heater , AC , TV etc"
630,A cozy view over the # FosoLagoon Nice and serene
631,It a cool area . And a hide out place as well . Really enjoy anytime I spent time there
632,Fantastic services and rooms
633,Serene
634,"Serene atmosphere , great food , delightful entertainment"
635,"Excellent service , most rooms have air conditions with suitable prices available"
636,Leaky bathrooms with fluctuating power supply
637,"Comfortable , nice and clean ."
638,Its a nice place to be
639,The place is so peaceful
640,Need to improve bathrooms
641,Very nice and quiet environment
642,The is a lot to learn from history
643,A cool and serene place to be of looking for where to spend the night with nature ' s touch .
644,Very nice place
645,This lodge is a low budget place and they also provide breakfast and it is closer to Cape Coast Teaching Hospital .
646,I really love this lodge . Serene environment with good customer care
647,The road leading to the place is bad . Eden lodge is one of the economical places for guest ' s
648,"The road to the place is in a bad shape . However , that is not the fault of Eden Lodge . I am just saying it so other people do not walk to the place on rainy days . But the place is a very nice place . A cool budget accommodation . Easy to find and there is this one lady among the staff who was very hospitable . The male staff too was great ."
649,Nice hideout .
650,"The Lodge was beautiful and staff lovingly cared for us . The room was good , simple and clean . Some plants would be nice . The chck in was quick and friendly . We enjoyed our stay and vacation . simply a breathtaking country and a great and exciting culture . Thx for the great time . C & C"
651,A cute place with a cozy environment . Staff are friendly too .
652,Has a serene environment . Home away from home .
653,Oh I think eden is cool with the green and the pool environment really clean
654,Nice place
655,a good hideout but no changes over the years
656,Like the greenery
657,"Eden ' s Lodge is the best place you can be with your family and friends , nice rooms very neat with Ac"
658,"The place is cool , green and relaxing to be"
659,"I can ’ t do a zero star review , I paid my reservations for 2 rooms for 3 nights on hotels . com once we arrived they expected me to pay them cash again ! ( us dollars ) and they wanted me to call hotels . com and ask for a refund . They didn ’ t allow me to check in . It was hot , it had been a long journey and all I wanted to was to relax . We ended up having to call the taxi cabs again and take us to many hotels and shop for accommodations that take credit cards which is hard to find in this area and the only reason why we booked in the first place . Absolutely horrible 🙈"
660,Nice garden for a wedding ceremony
661,Good
662,Professional and clean environment .
663,Nice place
664,There is a simple route to the place but the map elongated it . Needs review .
665,Guest House
666,Catchy entrance but poor reception
667,Satisfied
668,I think this place is very affordable .
669,Its just okay . . . not special
670,"I stayed here whiles in Ghana on holidays , on my very first visit to Cape coast to see the castle . At first I wasn ’ t too sure about the place but the workers were friendly , rooms were very clean with proper running water and the AC worked perfectly fine . The next morning I was surprised with a free breakfast . I Definitely recommend this place , very affordable with that family vibe !"
671,Affordable and nice place
672,"A hotel at a good location . . . not so far a distance from the Cape Coast Teaching Hospital and Cape Coast stadium . Side attraction : Pool , bus services and free breakfast Make your reservation now"
673,The breakfast was good but the bathrooms are small in most rooms .
674,"Nice restaurant , good food , excellence customer service and it ' s budget - friendly ."
675,Good facility . The fact that there was hat water in my room was amazing . Nice breakfast and fast WiFi . I recommend this place . I also noticed the guys washing all the cars on the compound . That was a wow experience to me .
676,"Great reception , the rooms are comfy ."
677,"In fact it was very nice place to host programs , so peacefully and seren environment"
678,It ' s a nice place to lodge .
679,More room for improvement .
680,Great place with nice people
681,"The rooms are comfortable , their services are soothing and locating the place is easy and convenient ."
682,I love the swimming pool for kids
683,Nice Hotel with swimming pool and good restaurant . Also with Night Club in the hotel premises . .
684,"It was very nice place to go n rest there . The environment is very cool place and the location is very simple to find . Enough car parking space , good security , good service and swimming pool"
685,Nice and spacious rooms with a swimming pool . The place boasts of one of the liveliest clubs in the city .
686,Great service
687,It ' s a nice place to pass the night when you are around Adisadel College .
688,Nice place for your Comfort
689,Good place for relaxation .
690,Cool place
691,- Nice and comfortable rooms - Air conditioned rooms - A very quiet and serene area - Affordable prices for rooms - Beautiful environment - Car park available ( not very very big ) - Generator plant - Friendly customer service / receptionists - A big hall area on ground floor - No wheelchair disability accessible - No swimming pool 🏊 - Gated and walled all around - Gate closes at night for security purposes
692,Perfect and easy
693,Hmm
694,Safe place
695,Good hospitality .
696,A nice place . Not expensive . Need some maintenance though .
697,Great reception .
698,"The food is not all that nice , kai"
699,nice and neat rooms . . . price is not too much but above average
700,Nice hotel with amenities and also very Central in Cape Coast . I enjoyed my stay here and I know you will love it too . Service is also great
701,"Its naturally a quiet environment . The serenity of the place makes it the choicest for guests . The services , if upped and maintained would add more comfort for patrons ."
702,its cool
703,Poor bathroom
704,Excellent
705,Nice place to rest for the day for a stop over
706,Satisfactory services . Clean and hygienic accommodation .
707,Very bad
708,Beautiful place
709,Poor bathroom 🚽
710,One star will be charitable .
711,Ermm . . . not too bad
712,Grt
713,Very nice place to be
714,Resorts should get at least pool
715,Didn ' t feel safe there
716,"The hotel is inside CapeCoast , close to the DVLA area . The hotel has a very larger compound with no noise but close to the road . It is about 15 minutes to the CapeCoast castle ( one of the main tourist attractions here ) and also close to one hotel , which has seen better days ( Hans Botel Hotel ) . The hotel is new , very new with excellent beds , showers and good air - conditioning . There , however , is not a restaurant or a swimming pool . I heard it is still in construction . The hotel has very spacious rooms which cost at the time of this Review 600cedis for their best . Customer service is OK and rooms are clean and comfortable ."
717,"Nice place , neat rooms and environment , responsive attendants . I really enjoyed the breakfast and the Ghanaian local meals we ordered , reasonable pricing . Had our meals at the front terrace . Stayed for 4 days ( family ) ."
718,New and nicely built hotel inside cape coast . Rooms are fully furnished with free Wi - Fi which is so fast . Breakfast is served as well .
719,Infant the place is very very beautiful and nice especially their room perfect when you come to their beds perfect .
720,"Exquisite , lovely , Wooow this is a very nice place to be , their services , their rooms , their the best you will get when you are in Cape Coast . I recommend Park Springs Hotel to everyone for your honeymoons , for Vacations and etc ."
721,Very nice place for vacation
722,"This is the place to be when you find your self in Cape Coast Elimina area . Parks Springs Hotel and Resort is serene and close to a lot of tourist sites like Elimina Castle , Cape Coast Castle , Kakum park among others . Above all the prices are reasonable . Thanks for the great customer service . Will definitely come again ."
723,"Awesome place , clean rooms , spacious car park , serene environment and good breakfast . Will definitely recommend to others ."
724,"Wonderful place to spend the weekend , breakfast was great . Will definitely be back . highly recommended ."
725,Lovely and welcoming evironment . A good place for relaxation 😌
726,"Service is amazing , rooms are beautiful , and it ’ s definitely worth the stay . 1000 % recommend"
727,Food was good . Serene ambiance . I did not see the rooms so I can ’ t comment on the accommodation .
728,"Very good stay at the Kokodo Guest House , equipped and very spacious room with balcony , a huge bed for comfortable and air - conditioned nights . Note , no hot water in the shower , and some concerns with a bedside lamp . The service team is great , smiling and available . A magnificent terrace in the middle of the trees with space for everyone . Large menu with good choices of dishes with fish , meats or vegetarian , everything is very good ! We highly recommend !"
729,Serene 🏾
730,Most wonderful place ever . Food is the best Staff is lovely . . Environment is great . : - )
731,This guest house makes local food very interesting . . . very good taste and enjoyable moments . I recommend it to everyone
732,"Haven ' t entered their rooms , so I can ' t review the rooms . However , they probably have the best seafood fante fante you ' ll get anywhere in ghana ( slight exaggeration ) . . But you cant go wrong with anything on their menu"
733,Great food . Loved the setup on a hill .
734,Great chef !
735,The food was good but it takes forever to be served after you place the order . Service was poor .
736,Cool n cozy
737,"Very nice guest house , impressive large bed , service and food 5stars"
738,Very beautiful place to dine quiet situated on hill nice breeze while enjoying your meal .
739,Fantastic food there
740,My all time favorite place
741,Such a nice and serene environment
742,"Beautiful atmosphere , very scenic and green location . Food is great , with generous portions . Mr . Asmah is awesome !"
743,"The 3nights spent at Kokodo with the family were absolutely great . A nice & serene place on a little hill overseeing Mfantsipim . All green around . Great staff & service , delicious meals , clean rooms ( although a little stuffy but not bad ; few of the fixtures need a little redo too ) . We loved it & will be definitely returning anytime I ’ m in Cape ."
744,Cozy place to have a nice fresh dinner in Cape Coast . Moderate prices . Call ahead as your food may keep long
745,Nice place but not so much a safe place because it ' s in a hide out
746,Cool serene environment Hideout
747,Really Cool and Cost effective and for family vacation
748,Solid reception
749,Nice and cool with gentle reception .
750,"The location is quiet and nice , though if you come from the west the access I a little difficult . Just stayed for lunch . Though we ate outside the tiny dining room inside is cozy . Guess what my order ( grouper ) was cancelled after a few minutes because the fish wasn ' t available . I presume communication between kitchen and waitresses should avoid this kind of inconvenient . Food was quite good and well presented , nice tasty sauces . A little more professionality would make the place very agreeable . One extra point awarded for the possibility to use Visa ."
751,Excellent dishes 👌
752,Always coming there for + 5 years . Best restaurant in cape coast ! !
753,"Very quiet place , away from the noisy environment and promote a relaxed mood . Has a natural feel"
754,Serene place on a hill that overlooks the first secondary school in Ghana called Mfantsipim . Good food . Clean and affordable guest rooms .
755,Amazing
756,Very serene and beautiful place . . . colourful as well
757,"What a great find ! It was highly recommended to us by someone we met in passing in Abidjan and it did not disappoint . 
 
 The owners were hospitable and friendly and everyone working there were extremely helpful . It was a quiet getaway from the hustle and bustle of the city . 
 
 The room was big and spacious and it was the largest bed I ’ ve ever seen ! Definitely a quirky but pleasant surprise . 
 
 Food was great and freshly made to order . Be prepared to wait awhile as it can be a bit slow ."
758,The food was nice . A waiter came to us as soon as we got there and headed to a table . The environment was peaceful and calm as well as homey .
759,Nice atmosphere . Fast service and cute presentation .
760,Nice staff
761,"A nice modern day hospitality facility you can trust here in Cape Coast , Central Region of Ghana . Big space for parking and outdoor programmes or wedding receptions . Stop by for a warm , elegant , and soothing experience . You ' ll definitely get the value of your money paid"
762,"Quiet environment with pools and parking lodge , bar and restaurant"
763,Good for relaxation
764,The ambience is unique at GRNMA hostel in cape coast 🤩
765,The hotel is located close to Abura in a central place in Cape Coast . I had challenges with the restaurant operation . Ironing cost extra and room has only one bin in the washroom .
766,Nice and cool place
767,"Great service , decent food , clean environment , very safe and reasonably priced"
768,"Serene ambiance , clean rooms , good food , relaxing atmosphere . . . ."
769,It ' s one of the best hotels in Cape Coast and beyond . It has a very conducive atmosphere with the peace of mind you will want to rest your mind .
770,"Excellent by the standards of a hotel in it ' s category . Cool , accessible , secure and clean place with wonderful service delivery ."
771,For your travel Accommodation visit here and enjoy your stay . . . .
772,Coozy place to relax
773,I guess the location is a nice hidden place honeymoon getaways
774,GRNMA Hostel is a very serene and peaceful . place to spend the night . Very neat and located close to the Cape Coast teaching hospital with restaurant services .
775,A new hotel in Cape Coast Area closer to the Nursing and Midwifery School at Abura Academy area . Nice place to be
776,Good service delivery
777,Awesome reception
778,Good place for short stay
779,Great
780,Great place
781,This is a simple and just hotel . The staff is friendly and the breakfast good . You can park and the rooms are not expensive .
782,It is at a great location just opposite Metro Mass station . You can get taxi to the location at ease anytime of the day . Rooms are just fine and the service good .
783,Room is quite small but the place is useful especially for emergency drop ins . . . Location is close to the regional passport office and directly opposite the Metro Mass Station . Has easy accessibility from the main town and quite affordable .
784,Basic hotel with everything you need . Could be a little cleaner .
785,"The Room was below average , CRT tv which was not working , They don ’ t have food at the restaurant you have to buy food outside the hotel premises 😩 the place needs to be upgraded ."
786,Bad rooms
787,Nice hotel affordable too
788,For the simple Travellers .
789,Good hospitality
790,"Poor room Sanitation . Archaic Fridge , television and furniture . Poor bathroom furnishings . Poor kitchen services ( couldn ' t heat my Potato chips and chicken and had to dispose it of )"
791,Only walked through
792,Cool low rate hotel
793,C - lottery hotel has a nice view and moderate in terms of the payment per room and they have nice rooms .
794,Nice place and at road side too you can get car to anywhere without dropping .
795,"Disappointed because I found an inn Root closer to the fort to visit than here for more expensive and classic ( bath + shower ) , TV , and no charm . But the goalkeeper who did not know how to speak that English , has a chance to call on his neighbor of the hotel who speaks French well ( of Ivorian origin ) , to translate what we mean . The other inn costs 40GHS ( € 7 . 30 ) and that 80GHS ( € 14 . 70 ) . Photos seen from the collective terrace on the top floor without elevator ."
796,Good place to be . Is opposite metro mass station in Cape coast
797,Liked it
798,A very nice place and the rates are moderate .
799,"Careful of mosquitos , facilities are acceptable but not amazing . Would have gotten 3 stars but shower pressure was pretty good"
800,This hotel was clean and affordable . I received great service and will return on my next trip to Cape Coast .
801,The environment is serene .
802,"Close to the Cape Coast Metro Mass Transport and is along the same road with Samoo Guest House , Oguaa Co - operative Teacher ' s Union and Church of Christ , Central Congregation"
803,"The room was clean and comfortable ( for the price ) . Furniture is dated and mostly damaged . 
 I travelled from USA with 2 teenage girls , Jan 2023 . We had a king size bed . The bed was big enough for us to sleep comfortably . Wifi is only available for 1 device per room . Imagine having 2 teenagers that have to share wifi connection . I ’ ve never heard of this . To top it off the internet cuts out at 12am sharp . It ’ s as though they turn the internet box off . Then they advertise free breakfast . This is only for 2 guests to a room and you have to pay for the 3rd . The breakfast is the same for everyone . Absolutely no substitutions . The breakfast consisted of fried egg , baked bean , spring roll , bread and a bit of green salad . Portion is very small . The eggs were good . Had to throw out everything else . Very sad , bc I really love spring rolls but they were rock hard and couldn ’ t be eaten . The pool is very unkept . Water is dirty . Thankfully this stay was only for one night . The staff made me want to pull my hair out ! They act as though theyre deaf when you are speaking to them . They don ’ t like to be asked questions . When you do ask they act as if they don ’ t hear or understand my plain English . Then when they respond in a very soft / low voice and it ’ s always sorry . They are not informative , rather very timid . But they communicate loud and clear amongst themselves . Overall I wish I could go back in time and get my night back ."
804,Spacious car park
805,Great place with serene environment
806,This the on going roof works
807,Perfect
808,The hostel is very nice but the pool is too dirty
809,"A beautiful hotel facility located in the heart of Cape Coast . The hotel contains accommodations , swimming pool , restaurant , a conference room , a club and other facilities . The location of the hotel makes it attractive to travelers from both Accra and Takoradi to Cape Coast . Visit the facility on a sunny day to enjoy their swimming pool and good food . And enjoy your weekend nights at Samrit Club ( Presidential Palace ) and you will love Samrit ."
810,Great
811,"The place is very serene , beautiful and condusive Environment . . . it is such a nice place to spend time off your busy schedule . . . I would like to pay a visit some other time 🙂 ☺ ️ ☺ ️"
812,"The experience was not pleasant at all . Compared to modern city hostel in Bolga , their standard room is smaller , stuffy and their air condition was in a terrible state . Again their staff act unprofessionally . I will hardly recommend the standard room for anyone . Maybe they might consider others higher ."
813,Nic environment
814,Nice place
815,Great place 👌
816,"Nice place , serene environment . You get your car neatly washed before day break . 
 Nice rooms . I didn ’ t have my water heater installed but I saw a notice of renovation pasted on notice boards . 
 Nice breakfast ."
817,Samrit hotel is a very cool place
818,Great place
819,cool place and much entertainments
820,Great services . Serene environment . It felt like home . I think more can be done with the washrooms . Book them for your vacations as well .
821,It is cool and affordable
822,Great view from your room
823,Great services
824,A very serene environment for some days way from home
825,Cool place to lodge
826,If you are a visitor around Cape coast and elmina . I recommend Fairhill Guesthouse for you . Their services are excellent .
827,Very clam
828,Nice customer services
829,It is a nice place to visit
830,"Cozy and neat rooms , great service . Prices are affordable . . serene environnement . . Good place for a weekend getaway"
831,Very spacious and beautiful rooms Friendly Service and location is 6min from main station
832,Bass
833,The location and environment were ok accessibility was also easy too .
834,Cool and affordable accommodation in Cape
835,Wonderful place with wonderful service . I ’ m sooooo impressed by how well kept the place is . Very neat rooms . Water heater was working which was sooo lovely . My first time in Capecoast and here and I would definitely most definitely recommend . And not far from capecoast university campus too
836,"Very beautiful ambience , rooms are airy and spacious and clean . The service is also excellent ."
837,Decent and serene setting . Nice reception . Mrs Hooper is very welcoming . We were stuffed with food during a homely breakfast .
838,Good
839,The place beautiful with good managerial skills to make their guest feel welcomed and ok anytime they come for visit
840,More room for improvement
841,"Fantastic customer service , neat room and toilet facilities clean running water . Very serene and relaxing environment"
842,Nice place to spend time away from home in Cape Coast
843,Perfectionism
844,I enjoyed their services and I will say it is the best experience . I recommend the hotel to all . Feel the services and thank me later .
845,Affordable and exceptional services .
846,I love the large and spacious rooms . I was excited about the sea view as well as the nice evening breez
847,Nice one
848,"The place is very clean , serene environment . It very new with see view ."
849,Very new and closed to the beach . Lots of room and Chalet with kitchenette
850,Location is very easy to find
851,"Bed was uncomfortable and one side broken . TV was not working , poor maintenance of washroom and fans . Poor cleaning as well"
852,Great service
853,"Is good hotel , and have nice workers"
854,Expensive yet poor services .
855,I stayed over a week . Renovation underway on the older section so a little dusty . Service and accommodation was very good . Breakfast and restaurant service good . Staff very helpful . Great location .
856,"Nice hotel , conference room not too big , outside still under renovation"
857,The location is great . Right by the highways but the rooms are terrible . Hot water does not work . The room I was given was dusty and damp . The bedsheet and matteress were stained . There were mites all over the bed which made sleeping very uncomfortable . I would not willingly want to sleep here again . Some of the sockets do not work . There is no mirror in the room . A total disaster of a place .
858,"In Room 101 , when you are sleeping the bed will be making noise and under the bed there are a lot of dirt and they poor customer service and they are not organized ."
859,Great customer service . They are available 24 / 7
860,Place will be classic after renovation .
861,Fantastic
862,"I just pass by , but the location is superb"
863,Good Place
864,It okay place
865,Nice and clean environment
866,"Please a kind appeal to management to consider fixing every malfunctioning installations ( WC , Fans , and what have you in some rooms ) My stay was very uncomfortable ."
867,Not bad tho . But their washroom isn ' t in good shape
868,Best environment . .
869,Must do far better
870,Lovely place
871,Matlat hotel hospitality redefined
872,The rooms were substandard . Shabby plastic closet to store belongings . Terrible plumbing . No hot water and leakage in the bathroom . Refrigerator didn ' t work . Breakfast service was just a disappointment .
873,Not bad it was cool
874,too basic for such a building . management needs to do a lot of renovations
875,"It is easy to locate . There ' s no hot water in the bathroom , no Wi - Fi and their breakfast is very poor ."
876,The rooms are spacious and comfortable
877,Wasn ' t bad
878,Very nice place to be .
879,Very quite place
880,"Just recently , I booked a room over there and it was so terrible 🤧 🤧 very old and unkept places . No proper bathroom facilities . I even saw bedbugs ! ! Really . 🤦 🏽 ‍ ♀ ️ 🤦 🏽 ‍ ♀ ️ . I will not even go there again"
881,Cool
882,They ’ re doing their best .
883,Cheap hotel . . Prople . . Will need a complete restoration Well located . . . interior spray .
884,🤝
885,Nothing about this guest house impresses me . everything in the building is old
886,It has cool rates for a passersby
887,The place is so good It ' s like living in ur own room
888,Nice and good services for you . Gives you a place to rest for a while for your comfort .
889,The beds are affordable
890,Outdated
891,"No television , No Dstv , leaking bathtubs in fact the place needs renovation"
892,"A very poor place bad environment , the rooms are not tidy ."
893,Needs serious renovation
894,Not bad at all
895,I met a guy at the reception . . He was very very rude . . . Bad customer care
896,This hotel is the best hotel for travellers and visitors who are go on tour
897,Nice place to hang out
898,Lovely
899,Perfect
900,Neat environment
901,"Poor network , some rooms do not have network at all , water heaters not working , rooms unkept , no toiletries , breakfast good the first day and poor the rest of the days , insufficient sockets , air conditioner is noisy ."
902,Good for everyone
903,Great reception
904,Manest Royal Hotel is very nice place to visit and relax your body in every moment . ✌ ✌
905,Good
906,Nice environment
907,Manest Royal Hotel offers serene environment .
908,Great service
909,Homely
910,Please the place is beautiful but network is relatively poor
911,It ' s ok
912,I like it
913,"Very nice atmosphere , nice car park IN the hideout was good 9 / 10"
914,The network issue is bad and has to reported .
915,Best place to rest in Ekon
916,It ' s such a sweet place .
917,Nice outfit
918,Great
919,Excellent
920,I was the Projects Architect . . .
921,Friendly
922,A hideout from all the hustle and bustle
923,Not bad
924,Great service . Affordable rooms .
925,"Hotel Staff are very pleasant and always eager to help . The room I slept in was quite spacious , and the bed quite roomy . However , the mattress was not as comfortable as I would like . My A / C was also non - functional . Alas , due to the full booking of the place , I had to stay as is . They also had no working WiFi . Plus , cellphone reception was terrible . The Hotel rates on the other hand was very good ."
926,Has a serene environment and nice accessible road and easy to locate
927,It has changed
928,This place is nice for wedding reception or engagement
929,Manageable
930,Savoy is the best of all .
931,Not bad ! ! !
932,I live der nd de re so many changes at savoy
933,Neat and comfortable place
934,Not much to say . . . . . the place ain ' t so great
935,It help me
936,It ' s can be rated 3 star hotel because i ' m from Cape Coast
937,Classic looking hotel .
938,Still Operating and good to crash over night while you travel
939,It is an average hotel but I like the environment
940,Good
941,Home based
942,😏
943,Very unique
944,Average facilities
945,Cool place .
946,Lovely place . Big beds and calm environment . Nice service ! Will go back again ad again !
947,The accommodation was very nice and clean perfect place .
948,Savoy Hotel use to be an iconic hotel but now the hotel is not in good condition as it use to be . It has to be Rehabilitated .
949,"No wifi , no break fast , no water heater , no swimming pool , , restaurant . . . . ."
950,It ' s an old place and did not spend the night
951,It ' s a nice place
952,An amazing school set up with the aim of providing quality education
953,Lovely environment
954,Good location
955,"This place is indeed a paradise ! I spent three days at the resort and their service and environment were superb . The staff were friendly , the food ( WOW ) - very good , and their rooms tidy and spacious . I cannot wait to go back there again in future . . . . . . . . . . . . . . ."
956,"Impeccable service . The staff are very attractive , kind and discreet . The location is very pleasant with a large garden , play areas and access to the lake . Nice environment , very peaceful . Perfect for observation of birds ( provide twins or long - lived ) Excellent , generous and varied cuisine . Everything is done at the time so you shouldn ' t be in a hurry . You can order in advance . The rooms are large and correct . Little water pressure for the shower . Possibility to park your car next to your room . Access is however complicated . The roads are difficult to pass . Make sure you have the suitable vehicle . It is a rather isolated place , like the other dwellings offered around the lake . You should know that it is a set of small villages living here . You will have to pay 10Ghs per person to access the valley ."
957,"PROS : I spent a night there . In fact , their service is top notch . The rooms are neat , my AC functioned well , the environment was neat except for the lake side which had recently been used by some other people before i got there . The food is superb . I had the opportunity to take variety of their meals ; Breakfast ( Milo , pancake , bread with fried eggs ) , Lunch ( Fufu and Aponkye Light soup ) , Supper ( Banku and Tilapia plus Special local potatoes with chicken ) , i ordered for special pop corn , khebab and fried plantains . Their food is by far the best ive tasted from any resort . The owner Maa Patricia is very friendly but i met these two people ( Solomon and Seiba ) , woooooooooow , their customer service and assistance is overwhelming . I will not hesitate to visit the place a second time . Cons : Despite the nice environment , there were few negatives . The road leading to the place was very bad and far . There were no walls around the resort ( security concerns ) , didn ' t really see any security guard around . They had some security cams but it was far from the car park . But in all I really enjoyed my stay ."
958,"The food , the environment , the staff more especially Madam Patricia , the CEO , very loving and humble . She has time for everyone"
959,"I enjoyed the ecofriendly system at wildwin , their food was the best - jollof rice and their banku and tilapia was muah . . the owner , madam Patricia is such a humble and friendly person . Planning for another visit"
960,"Asked for a Guiness , 15 cedi . Was warm . When I left they said it was actually 20 cedi . If you only sell 5 or 6 drinks how do you know the price ? ? ? ?"
961,"Great place , toilet and shower were bad and electricity fail many times . The restaurant was good and you should take the tour on the boat , it was fun ."
962,"It ’ s a beautiful resort right on the Lake Bosumtwi . You ’ ll love because the food is so good and the atmosphere is so relaxing . You can take a swim here . The staff are very nice and the owner very friendly . 
 
 Downside : warm shower is an issue if that ’ s what you want . 
 
 Otherwise , I totally enjoyed the stay and had a blast ."
963,"Loved the environment . Very serene , great food , beautiful environment . Staff are friendly too . Ultimate escape to reset and meditate , reconnect with nature . Counting the days to my next visit ."
964,The view of the lake and its serenity is absolutely worth the journey there ✨ !
965,Bad policy . Not good at all . By force ordering of food .
966,Cozy environment but the food keeps long
967,one of the best resort you get for your leisure . Don ' t miss out .
968,They don ' t the best of roads though but a serene natural environment with the view of the lake
969,Was in for my birthday and I love the environment
970,The natural environment and the lake is healing and fun .
971,"Staffs are very friendly , patient and very respectful . Rooms and bathrooms are very neat , food is very delicious , the wildwin drinks they make is to die for , last but not the least is the place itself surrounded with different fruits , and is facing the lake . most nights I slept out side just listening to the sound of the lake and watching the stars and moon above . In short I will recommend this place to anyone who needs a getaway to rest and relax ."
972,Great weekend getaway . easy access to the lake and nature . Good customer service all around . Seiba and Godwin was very helpful and their free breakfast was on par .
973,Great experience
