,comment
2744,Relaxing
2745,nan
2746,nan
2747,The structures wasn't really impressive
2748,"Idyllic settings with great people, food and conversation"
2749,"Stayed here two years ago in March. What an unforgettable time and an amazing experience. Such an awesome, warm and gentle host, Kobi. He took us for a walk through town to see the lighthouse (which had an amazing veiw) and everyone in town knew him. ""Rasta Kobi!"" the children would yell as we passed them in the streets.
The bamboo hut is very rugged, the straw mattresses a little lope sided and pokey, but the sunrises, stars, ocean views, bonfire parties and conversations were beyond what I could have hoped for. I would love to go back some day."
2750,nan
2751,Back to basic right at the beach. I loved it.
2752,"Bamboo village, living life the most natural way. I love love love this place, and will always come back here! The best vegan food, the absolute loveliest and friendliest host you could ever wish for, and amazing ocean view from the balcony.

It's affordable, cozy, and the best place to just relax and live a good life when at Cape Coast. The castle is situated right next to Bamboo village, so it's right in the centre of everything.

Genuinely recommend staying there, meeting Kobi and his dogs, enjoying some bonfire on the beach kn saturdays with music and drumming and just enjoying your life!!"
2753,It's cool
2754,nan
2755,"A very nice place!
It's made of bamboo and it's very ""natural""
The doors of the toilet and the bathrooms have holes but it's something that you can manage
An experience that you have to try
It's on the beach and almost every night they light a fire on the shore and play reggae music
There's a good and quiet atmosphere where you can relax and rest
The owner, Kobi, is a very nice person
It's 25 cedis per night
It's very close to the Cape Coast castle so if you're coming from Accra with a bus, you will get down near a fueling station from where you can take a taxi to the Castle
The sea in front of the bamboo village is not swimmable even if some people go and swim anyway
If you go to Cape Coast and you're looking for a cheap and easy place you should go there and enjoy the amazing view from the veranda(where you can sleep but be careful for the mosquitos)"
2756,nan
2757,One of the best places in the world. Friendly people. You have to know Kobi. Came and enjoy. You will live on the beach
2758,nan
2759,"Super welcoming place to relax and experience the magic of Cape Coast area.  Kobi is the best host., and the Saturday night fire and drumming on the beach not to be missed... a real delight."
2760,"This place felt like home during my stay in Ghana.
The guests and Kobi are like a familly here, sharing everything, eating together, doing shopping for dinner.
All in all a great place on the beach to feel relaxed and enjoy.
And Kobi is impossible not to love, he is a host honestly interested in your well being, and not only the money.
Thank you, brother!"
2761,Very inexpensive dorms and private rooms located right on the beach. The facilities are pretty basic for the same reason. Very helpful guest house owner.
2762,nan
2763,nan
2764,"great atmosphere, great accommodation... Kobi is a great host!"
2765,"Thank you Kobi. My son Apollo haven't stopped talking about you. Asked what he liked most about Ghana and he would say ""the bamboo village ."" Staying  at your place was a very awaking experience. The peace, kindness and generosity was perfect."
2766,The owner kobi was awesome. I loved the beach and hearing the ocean waves when I slept. The others guest were very nice. I loved it
2767,Very relaxed and cool atmosphere with people from all walks of life. The naturally built beds are comfortable and the food is also one of the best vegetarian options in Ghana. This place feels like a home and the host has a joyful attitude about life that is contagious. I highly recommend this place for anyone coming to the Cape Coast area!
2768,"Spent all together 7 days. Great place right at the beach. Owner Kobe will make sure you are always feel welcome. They can cook food for you, they have cold drinks and all together its very nice place to stay at."
2769,"Not yet ready for handling online reservation. Though reservation had been confirmed, room was taken already. Bad experience."
2770,nan
2771,nan
2772,Sweet lady that was taking care of us. Unfortunately no internet and one of the mornings no water but otherwise nice place with good location on top of a little hill. The aircon is quite loud and the road up hill is quite bad. The garden is well protected and feels quite private
2773,nan
2774,nan
2775,nan
2776,nan
2777,nan
2778,Poor  access roads
2779,nan
2780,nan
2781,nan
2782,"This is my home town, and I love the place 💕 it's nice to visit home."
2783,nan
2784,nan
2785,Really cool with their prices you can spend a whole week there with the family try it this vacation and you will love it
2786,nan
2787,nan
2788,The view alone is amazing
2789,"Road to the lodge is in very bad condition. There is a gate to access to hotel. During our stay, we had no running water. Luckily, we received water in buckets. Rooms could be cleaner, fridge was smelly (maybe due to the water shortage). You get breakfast (egg toast) every morning in your room. Fridge and TV didn't work at the same time. View on the town is beautiful from the lodge."
2790,"Great location for events, funeral and wedding reception."
2791,nan
2792,Wonderful
2793,nan
2794,Nice hotel in the middle of Cape coast.
2795,Very nice
2796,nan
2797,"A cool and very affordable place
If you are stranded look no further"
2798,"Ran's Lodge... safe, cute, private, well kept grounds and lots of space with adorable little cats. The room we booked had a mini kitchen area (YES!), be prepared to pre-prep the space before you settle in! At night the mosquitoes are on the prowl so wear long everything please. Be aware of the noise levels across this area the hill alone has 4 CHURCHES! No WiFi service was available while I visited during April 23 - 28, 2019. The awesome attendant was very accommodating, friendly, aware and vigilant; he knew when anyone entered and left and we walked late at night!
Also this space is rented out for weddings. What an awesome little spot for the price."
2799,Good accommodation
2800,"Rans Lodge is an interesting place to be.  I will call it a home away from home. In fact,  l didn't want to leave the place.  I will choose there over and over. Thanks to Ebenezer  Akortia."
2801,A very cool place to be
2802,nan
2803,Positive: Neat rooms. Negative: No air conditioning.
2804,"Positive: Excellent breakfast...loved the fresh fruit and juice, especially. The manager always went above and beyond to assist in whatever we needed.."
2805,"Positive: Delicious Breakfast, clean Bathroom, Strong internet Wifi, Comfortable bed, Responsive host.. Negative: Road to the property."
2806,Loved the experience... although the road leading was very poor
2807,Positive: The reception and general environment was serene and very welcoming...
2808,Very cozy in the centre of town.
2809,Positive: Everything was good.. Negative: The road to the hotel was very bad and the directional signs had faded..
2810,The road is soo bad
2811,nan
2812,nan
2813,nan
2814,nan
2815,nan
2816,"Great, safe en cheap place. Rans is awesome and really friendly. Always ask him to call felix for taxi. He is the best"
2817,nan
2818,A very serene environment
2819,Very nice environment
2820,Good environment
2821,nan
2822,nan
2823,At contract with our vessel
2824,nan
2825,nan
2826,Never been there before
2827,Nana Bema hotel
2828,nan
2829,"An affordable place to lodge with clean, spacious rooms. Customer service very good."
2830,nan
2831,nan
2832,"I like their services,"
2833,Good but some how
2834,nan
2835,nan
2836,nan
2837,nan
2838,A good place to be. You're assured of your security and comfort in the hotel .
2839,nan
2840,It quite place
2841,nan
2842,Good
2843,nan
2844,nan
2845,nan
2846,nan
2847,nan
2848,nan
2849,nan
2850,OK
2851,nan
2852,Nice rooms
2853,nan
2854,Nice place
2855,nan
2856,nan
2857,nan
2858,nan
2859,Great atmosphere
2860,Good
2861,nan
2862,nan
2863,nan
2864,nan
2865,Quaint
2866,Cape coast
2867,nan
2868,nan
2869,nan
2870,nan
2871,Sweet
2872,Cool
2873,Friendly staff.Very good location as it  sides on the main Cape Coast Takoradi  Road. Conference room for about 70 people. Large family rooms with a serene environment.
2874,nan
2875,nan
2876,nan
2877,nan
2878,nan
2879,"Very friendly staff, family atmosphere.  Very convenient location by the side on the main Cape Coast Takoradi  Road. Convenient place to use as a meeting point. Did not use the rooms"
2880,nan
2881,nan
2882,With good maintenance it will be one of the best
2883,nan
2884,nan
2885,nan
2886,nan
2887,nan
2888,Cape coast hotel is on the highway toward perdu junction
2889,Thw worst hotel ive ever been
2890,nan
2891,nan
2892,It's need renovation most of their infrastructure are old and outmoded
2893,Nice location but needs renovation..
2894,nan
2895,nan
2896,nan
2897,nan
2898,More needs to be done with cleaning More TV Channels More on mosquitoes food must improve
2899,nan
2900,nan
2901,Very welcoming
2902,nan
2903,Very comfortable place and accommodating.
2904,nan
2905,nan
2906,nan
2907,nan
2908,I was there 2days ago and I love the place 👌
2909,It's nice hotel
2910,nan
2911,nan
2912,nan
2913,nan
2914,nan
2915,nan
2916,nan
2917,nan
2918,Yes agree to your grade 3.5
2919,nan
2920,Their customer service is good
2921,nan
2922,nan
2923,"Am a mechanic so I was there to fix a friend Range Rover LR4
His balloon suspension went flat so we fixed for him and the Mechanic company name is NABFIX & Co."
2924,nan
2925,nan
2926,nan
2927,Nice place from home
2928,nan
2929,nan
2930,nan
2931,nan
2932,nan
2933,nan
2934,nan
2935,nan
2936,"Place not a receptive environment, workers at the hotel are not deligent and honest workers and receptionists are relactent to ensure that they attend to request of customers that will make them feel comfortable during their time of stay.
I don't wish to be there ever again."
2937,nan
2938,Quiet place to relax. Breakfast needs improvement
2939,nan
2940,nan
2941,"Bad customer service, no breakfast not staff care, no restaurant, no bar, poor internet connectivity, staff makes money from selling of rooms. Hotel has good location and water flow very well, nice TVs in the room.
I don't recommend this hotel"
2942,"Very serene place with spacious rooms..clean environment ..affordable..easy access
The only bad aspect is that they don't have a restaurant ,a bar and a pool 😧"
2943,It's cool. the execute rooms are awesome
2944,nan
2945,Cool
2946,It was a nice place for relaxation
2947,"They have a serene environment, a very spacious carpark,their rooms are nice,their WiFi system is perfect n their security system is tight. Their workers too are perfect n the manager is always on point. In fact if I am to rate them more than 5 stars I would have done that"
2948,nan
2949,nan
2950,nan
2951,nan
2952,Nice hotel near the road
2953,"Very nice and spacious rooms.
I just love it 😍"
2954,It has a nice and serene atmosphere
2955,A very special hotel built very simply. It gives a lot of space to hold meetings at the forcort whiles watching cars pass. A wonderful serene
2956,Very conedusive atmosphere..with clean environment...
2957,I like here too much
2958,nan
2959,nan
2960,nan
2961,nan
2962,Just normal
2963,nan
2964,nan
2965,Just opposite my home situated in a cool neighbourhood. Have nice persons working in the outfit. Very clean rooms
2966,Cool quiet walking distance to the Teaching hospital. No in house bar but can be sorted
2967,nan
2968,It's a wonderful place to stay in
2969,Good
2970,"A great getaway location. Fantastic environment, excellent rooms, food was on point. My wife fell in love the place after surprising her on her birthday with a night stay, dinner was delicious."
2971,"My husband booked this place for my birthday getaway and to say I was blown away is an understatement. I wish i had to stay there more days, the environment is neat, the bedroom is superb and the bed is so comfortable and luxurious. It is indeed a haven, I will certainly come back and back again. The staff were lovely, their food was incredible. It was a lovely stay through and through, big ups"
2972,nan
2973,It's a luxurious place.
2974,nan
2975,Great boutique hotel in Cape Coast. Good location close to but not on the beach so be aware. To my wife and I it was nice to be 5 minutes or less drive to the beach and also have a safe and private place to sleep. On-site lounge was great and the food was delicious. They even accommodated our request for early check in and helped us arrange a driver for our entire stay. Would recommend this classy hotel to anyone looking for a romantic getaway.
2976,nan
2977,It's absolutely an amazing place to hang out
2978,Great environment. Pleasant and helpful staff
2979,nan
2980,Nice location
2981,nan
2982,nan
2983,nan
2984,Very awesome place
2985,nan
2986,nan
2987,nan
2988,nan
2989,Un oasi molto piacevole
2990,nan
2991,"Cozy, cool vibes here. Loved the pizza!"
2992,Lovely location and good food.
2993,Luxurious facility
2994,nan
2995,nan
2996,It is a nice place for all to relax
2997,"Hospitality Excellent
Food was really nice
Neat/Clean rooms
Serene environment
Security"
2998,nan
2999,Loved it
3000,nan
3001,nan
3002,Haven is Actually heaven
3003,nan
3004,"Good
Kettle and tea (only 1 Datchet of milk in the room)
Complementary crackers and wine
Complementary bottles of water
Minibar in the fridge (paid)
Good toiletries: brush, towels, shaving sticks
Spacious room with a desk space

Bad
Underwhelming
Stuffy (really hot after coming back)
Poor ventilation in the toilet even before first use it smelled
Overpriced, considering could have just got a resort 20mins drive down for similar price."
3005,nan
3006,Nice place
3007,It is an elegant hotel and restaurant within the Akyim community close to Holy Child School. They offer excellent services to their gust.
3008,nan
3009,nan
3010,Small hotel but very clean and cozy! Great staff and food. Will visit again when in town.
3011,Good
3012,"A very serene atmosphere, comfortable rooms and highly professional staff. Food was fantastic. A must visit for anyone going to cape coast."
3013,The waiter gave me all the attention i needed
3014,"Coolest hideout place in Cape Coast, great food and great customer service.I will definitely go back to this place anytime I'm in Cape Coast."
3015,"Good food, rooms near,good customer service"
3016,"Had a wonderful time at Brynx Haven , will recommend it to family and friends. Food , ambience, staff"
3017,"My experience at Brynx Haven was the best . Had dinner with my family this January and the experience was the best, i enjoyed my tuna sala and pizza. The food was on time and taste good. I will recommend brynx haven to everyone. Happy New year"
3018,"One of the best hotels I have ever visited in Ghana. My husband and I really enjoyed our stay.

The place was very serene. The room and the bathroom were very clean and tidy.

Most importantly, the customer service was great and we had the best breakfast and their seafood fante fante was to die for.

To the manageress and the assistants, please continue to be the best and friendly and yet professional.

Brynx haven .. simply the best"
3019,nan
3020,Very dirty rooms and bad location. Unfriendly staff
3021,nan
3022,"Nicht zu empfehlen und wir sind wahrlich nicht empfindlich. Betten fühlten sich nicht frisch bezogen an, vor dem Haus auf der anderen Seite eine Müllhalde, Frühstück einfaches Weißbrot mit Rührei. Dafür definitiv zu teuer. Die Damen waren allerdings sehr freundlich."
3023,Nice lady had to step up to go into shower which I know would have been very challenging for someone with mobility issues. Quite a way from tourist attractions though it did not seem so on booking site.
3024,nan
3025,nan
3026,Adisadel staff/Cuaster's
3027,nan
3028,nan
3029,Serene place
3030,nan
3031,Calm environment
3032,nan
3033,nan
3034,ecellent place
3035,Nice place with good location. Needs little touch
3036,nan
3037,"Dirty, no water, run away.
Sale, draps non changé, pas d'eau. A éviter. Mieux vaut dormir dans la voiture"
3038,A place to lodge
3039,Beautiful hotel
3040,No one there at 8.30pm. The place looked dead.
3041,nan
3042,Never being there before. Can't say anything
3043,TOILET SMELLED REALLY BAD ALL THROUGH OUR STAY!!!!   WIFI NEVER WORKED FOR ONCE!!!!  AC NEVER WORKED!!!!  TV NEVER WORKED!!!!  BREAKFAST ARRIVED WHEN WE WERE TIRED OF WAITING.  THE BED WAS THE ONLY THING WE ENJOYED CAUSE OF ITS SOFTNESS...
3044,nan
3045,Its a small place and should rather be a guest house. Its in serene environment
3046,The room was very ok and the staff was great. We had only one night here and the place is a bit far from town but really nice to stay there
3047,nan
3048,Hotel at the Coastal town. Maybe my next destination for honeymoon
3049,nan
3050,Cool place to lodge
3051,nan
3052,Nice place.
3053,The place is ok for its price and the staff is very helpfull. There are plenty of space in rooms and beds are comfort (proper blankets). There is nothing to complain.
3054,nan
3055,"Clean and nice room, hot water and friendly personell, which actually is available 24/7.
Breakfast is included. (Eggs and bread)"
3056,The outside looks great but with a limited space for parking.
3057,Their reception was good and the rooms r really nice.those two guys r just good
3058,"Need a place to lodge when you are in Cape Coast, Try Marrets.. Located inside Adisadel Estates, close to Old waec office.. There is an Internet Cafe jux close by and da atmosphere is serene. Its just 10mins drive to the Cape Coast Castle from there."
3059,A very poor hotel. Looks better outside than inside. Not great experience and no guest.
3060,Has a serene environment and good reception
3061,nan
3062,Not bad
3063,Situated perfectly at the entrance of Cape Coast just opposite the Adisadel College.
3064,Simply good. But needs some uplifting in order to be current
3065,nan
3066,nan
3067,nan
3068,nan
3069,nan
3070,the executive room is not satisfying at all!
3071,nan
3072,nan
3073,"This is a joke of a hotel. When I checked in at lunchtime the restaurant did not have any food or drink, guests were expected to order out if they wished to eat. When I returned in the evening, they were unable to provide dinner.Despite having 6 hrs to make arrangements they still still didn’t have any  food…  but they did manage to go out and stock up with beer!
My room didn’t have any towels and neither the a/c or tv worked. Nor did the sockets in my room.
The absolute icing on the cake was the total apathy of the staff who were sitting around on their phones or watching football. When I complained to the manager he simply laughed.
I say this - not as a privileged westerner - but as someone who has lived in Ghana for a number of years  ….AVOID THIS HOTEL AT ALL COSTS. IT IS A DISASTER. Marks out of 10 - zero.
Update - 18 hrs after checking in 2 power cuts and one separate cut in water supply. All of which took several hours to remedy as they don’t have a back up generator."
3074,nan
3075,nan
3076,nan
3077,Serene atmosphere
3078,Best
3079,Disappointed. The room looks nice and clean but they had problems that needs to be addressed. The bathroom shower does not work well so i had to ask for a bucket. The breakfast is only one per room so my wife and i had to share one cup. The lights also went off fror about 7 hours. The lights also affect the shower. Sleepiing was very uncomfortable. Not worth it for the price. This is not a hotel. Its an overated guest house.
3080,nan
3081,"Think I am so much in love with the rooms as its very spacious and airy.

Big parking space.
Interior on point. Stairway very clean. Walkways well kept."
3082,nan
3083,Nice rooms...just needs constant renovation
3084,nan
3085,"Really nice and affordable rooms, good customer service, spacious parking space.

Their new extension has really nice rooms and a beautiful lobby.

Bar and restaurant yet to be operational. Would definitely love to spend time here again."
3086,Nice and lovely
3087,nan
3088,Nice Hotel in Cape Coast
3089,nan
3090,Nice
3091,Nice car park... Nice reception... Beautiful flowers ... Nice place for out door programs... Nice dressing our workers..
3092,nan
3093,Too expensive for the kind of services they offer
3094,nan
3095,Cool and cozy hotel for a holiday
3096,nan
3097,No restaurant attached
3098,nan
3099,"Budget hotel, they have new extensions and just renovated their rooms. Not so clean though"
3100,"Nice place, people, and car park"
3101,nan
3102,nan
3103,Cool place to lodge
3104,Nice environment with lovely worker's keep it up
3105,A Pleasant Cozy safe place to stay. Staff were excellent and services fairly priced. I'll Stay here again and you should do same.
3106,nan
3107,nan
3108,nan
3109,Cool
3110,"Poorly maintained, fridges are in serious need of replacement along with all the fixtures, plumbing and furnishings. Significant amount of water damage probably from roof based on the stairwell ceiling that is missing and apparently fell off. Toilet didn't flush, hot water heaters don't work, bed frame falling apart, walls bubbling up, light fixtures broken, very dirty behind all furnishings, basically, it's run down and in serious need of rehabilitation. Manager and staff were friendly and cordial however I will never stay there again and we seriously considered leaving at 10pm and sleeping in our car."
3111,Acceptable
3112,nan
3113,nan
3114,nan
3115,"Affordable lodging in Cape Coast off the main road around Pedu. Serene, nice environment for a weekend getaway stay."
3116,nan
3117,Beautiful hotel and attentive staff and food prepared to your taste. Hot water too for showers! Large rooms!
3118,nan
3119,It one place that when I find myself in Cape and it's surrounding area I don't want to miss. I recommend this to friends and they attest to my view. Good job keep it up
3120,"Excellent service.
Clean rooms,  friendly staffs."
3121,Lovely 🌹
3122,I had a swell time here. We were well taken care of. The staff were very friendly and helpful where ever you needed help.
3123,"The rooms, food and services were Satisfactory"
3124,Arafynn is just ok. More of a budget hotel but well secured premises for your vehicle and its contents. Closer to the main Cape Coast-Accra highway.
3125,nan
3126,Best services and facilities
3127,nan
3128,nan
3129,nan
3130,nan
3131,nan
3132,nan
3133,Simply eligant
3134,I can say it's a cool place for a hide out
3135,"I loved this place.
The facility has enough parking space for the number of rooms available.
.Descent well organised rooms
•Available in the room(Room5) are:

*Centre table
*sofa
*TV
*Air conditioning
*neat washrooms (Water heater, clean toilet sink, bucket and pale for bathing in case you are not cool with shower)
*Telephone
*bed lamps at both sides
*Queen sized Bed
*Nice African masterpiece
* Study table with lamp
* 2 bright LED ceiling lights
*Ceiling fan
* Bed comforter
*Closet
* Mirror
*Dressing mirror for women
*Table Top Fridge
*2 clean towels
*Washroom mirror
*Green garden view from your window
* Restaurant
*outdoor couch

Noise free serene environment.
You will love this place."
3136,nan
3137,nan
3138,Cozy environment
3139,nan
3140,Fantastic!!
3141,nan
3142,"Very nice bright room, well designed bathroom, very good environment. Everything about our stay there was very positive."
3143,nan
3144,its a very nice and comfortable place i am recommending it to everyone
3145,nan
3146,"Poor customer service,terrible food 👎"
3147,Comfort
3148,Well an interesting place to stay
3149,"I stayed a little over a week at this hotel. Very clean and comfortable. Albert and the staff was great and very helpful. The free breakfast was great every morning and lunch and dinner was always excellent. Great hotel, i would stay there again."
3150,Very neat environment
3151,This place is very nice and spacious.  Everything is in point.
3152,Nice and quiet place. Just a walking distance from the fire station
3153,Fairly quiet as is tucked away from centre of town. Spacious rooms.
3154,nan
3155,Perfect and superb
3156,nan
3157,Is a nice place
3158,nan
3159,nan
3160,Very good Serene place. Home away from home...
3161,nan
3162,"Good! Simple , calm and well maintained hotel. Has a family atmosphere"
3163,It nice
3164,"calme et propre ..bon raport qualitee prix
Bien situé.. parking sécurisé.. repas et petit déjeuné corect ..le personnel est efficace et courtois.."
3165,nan
3166,Neat and affordable
3167,nan
3168,nan
3169,nan
3170,Good place everything there is attractive
3171,nan
3172,nan
3173,nan
3174,nan
3175,Rooms are really not in good shape.
3176,Cape coast festival
3177,nan
3178,The Hotel isn't bad
3179,Cool place
3180,Nice place to be for weekend getaway
3181,nan
3182,Cozy and serene environment.  Great customer service. The meals are tasty too.
3183,nan
3184,nan
3185,"Clean, quiet and reasonably priced"
3186,nan
3187,nan
3188,"I just arrived with my friends, we live the place already."
3189,nan
3190,nan
3191,nan
3192,Very quiet place and is very lovely
3193,nan
3194,It's a very cool and has a serene atmosphere. One of the coolest place for relaxation
3195,nan
3196,Very siren environment
3197,nan
3198,nan
3199,Enjoyed the place
3200,nan
3201,nan
3202,nan
3203,Cool place on A good Budget
3204,Once a glorious hotel in cape coast. Price comparison to others hotel is not the best. But it's okay.
3205,Good experience. I like the place.
3206,Nice place to be
3207,It was great
3208,Cool
3209,nan
3210,"I disagree because I  heckled in after 12pm, that is the early  hours of friday and was asked to check out at 12:noon of Friday."
3211,"Clean, well organized and silent place"
3212,Quite environment
3213,nan
3214,nan
3215,"Rooms are nice, bed is very comfortable. The environment is beautiful. And very affordable. Will surely visit again."
3216,nan
3217,Nice serene
3218,A serene ambience with accessible play options for children.👌🏾❤️
3219,nan
3220,nan
3221,nan
3222,"Nice hotel, but their services are very  poor, especially the woman who served  us that day. She was very rude😒😤"
3223,nan
3224,nan
3225,Nice location
3226,nan
3227,nan
3228,nan
3229,I loved my time at pempamsie. The food was great. Neat environment. Good service. Coded location.
3230,Perfecto 💯
3231,nan
3232,"it has a serene
environment"
3233,nan
3234,Great business meeting location
3235,nan
3236,nan
3237,nan
3238,All that glitters...
3239,I really loved my stay there.
3240,Great staff and serene environment if you are in Cape Coast for a short stay. Nice pool as well
3241,A nice surrounding
3242,nan
3243,nan
3244,Cool and nice place for anyone around Cape coast. I enjoyed the 'Fante Fante' soup with the banku
3245,Mini football pitch and a place for all kinds of outdoor activities and accommodations
3246,nan
3247,nan
3248,nan
3249,"Very nice hotel
Services excellent"
3250,nan
3251,"Good service and professionals,they have a new swimming pool and a new gym"
3252,Beautiful landscape and spacious
3253,It's a cool place to visit
3254,nan
3255,"A very place for all occasions be it out door or indoor, spacious conference room, nice food and nice rooms."
3256,"Good service, clean and tidy. Easy accessibility to join the Cape Coast-Accra highway."
3257,nan
3258,nan
3259,Nice environment
3260,nan
3261,Great place.
3262,nan
3263,nan
3264,nan
3265,"Nice place
Good location easy access to transport
And large car parking space.great service"
3266,Liked it but should at least get wifi and bathtubs
3267,nan
3268,Nice place to visit
3269,nan
3270,nan
3271,"Slept there a few Times. Hotel has seen better Days. But, the Price is very reasonable,  the Rooms are ×/- but across the Road You'll find a large open air Restaurant with OK Food and sometimes nice (but loud) Music."
3272,Service was okay
3273,Very nice hotel with cool. Location and very relaxed atmosphere
3274,nan
3275,Great
3276,Great place
3277,nan
3278,nan
3279,nan
3280,nan
3281,nan
3282,"I still don't understand why they have to collect your full payment when you call them to book, even when you are not physically there. I had to pay ahead, before the reserved a room for me.

Yet their breakfast room service delayed for about an hour... it's quite unfortunate.

I may have to scout around for a better deal."
3283,Nice rooms
3284,A nice place to be
3285,Good
3286,Beautiful place nice workers with professional service with a great smile
3287,nan
3288,Good
3289,nan
3290,nan
3291,nan
3292,Nice place
3293,nan
3294,"Seren environment, cozy rooms"
3295,nan
3296,nan
3297,nan
3298,Good place to relax during the weekend
3299,Quite old facilities but affordable rates
3300,nan
3301,nan
3302,nan
3303,Nice services. I recommend Fespa
3304,nan
3305,Good
3306,"It's a nice atmosphere, good location and  great client services. Kudos to Eric, the  receptionist  he's such a gem !"
3307,nan
3308,nan
3309,nan
3310,Was oky
3311,Ok
3312,Very normal accommodation
3313,nan
3314,They have very nice rooms and the place looks great
3315,nan
3316,nan
3317,My favorite is the buffet breakfast.
3318,nan
3319,nan
3320,Stopped there for Breakfast. Good range of food consisting Ghanaian and non Ghanaian food
3321,nan
3322,Very lovely environment.  I went for a lunch 😋 and didn't regret it. Everything you can eat😄. Wonderful services too 👏.  Be sure to pass by for a lunch break 😀 👍 with that special someone🤪.
3323,Excellent lodgings in the most tranquil location in Cape Coast.
3324,Have not stayed here but stopped by for lunch when in Cape Coast. Lunch buffet had a nice mix and a good selection of local and continental food
3325,nan
3326,nan
3327,Great place to be. Tasty food. Neat rooms. Great Staff. Very friendly and dedicated GM.
3328,nan
3329,nan
3330,nan
3331,nan
3332,nan
3333,"Coming from London arriving to Cape Coast with a long 6 hour in traffic drive. We came in before 2 pm and we knew that that check in was at 2 so we waited until it was time to check in. The place was very nice when we arrived, very spacious and clean however once went to check in they said the room is still not ready.
So we decided to eat, so we ordered and the waiter said it would take 25mins. But 25 mins afterwards food and drinks haven't arrived yet. After 5 mins we got our drinks then about another 10 to 15 mins we got only 2 of our meals. The pizza tastes good but there was an overuse of flour at the base and I had to scrap it off with a knife. Then 10 mins afterwards the rest of the food arrived. The burger wasn't just a beef burger it was corned beef and mince which wasn't right but the tilapia was fine. We finished eating around 4 and still our rooms weren't ready. Then we went to investigate why our rooms weren't ready, after we made a fuss about why our rooms were taking so long we then guided to our rooms.Also the bathroom had a werid smell which was like they used bad cleaning products 😐 The customer service wasn't great at all.

So I came back again, on behalf of my grandfather wanting to treat us. And on the 26th Match 2023 there's a buffet. The jollof was good as well as the fried rice. Snapper was lovely. The fish and snail soup was alright however the fufu wasn't very nice. I would say the food is way better than last time but still there's a bit of improvement they can do. The dessert bar could have more options
The fresh bread would be more pleasant if it was warm.
It would be better to have more of a variety with the food and to be lenient with the spices as if people from aboard visit it would be hard for them to enjoy the meals.
The Victoria sandwich just isn't right at all
The pineapples were nice and sweet
The puddings are nice and creamy,l
The tarlet was alright could of been better
Overall, it's way better than before"
3334,nan
3335,Is One of the nicest and biggest hotel and restaurant you can think of in Cape coast.
3336,"Beautiful place,nice location and comfort rooms, food on point and customer care is great"
3337,nan
3338,Breakfast is best
3339,nan
3340,nan
3341,nan
3342,"I love everything about this establishment!! The day after I arrived at Cape Coast, I called this hotel because I didn't like the Airbnb(s) I reserved. This hotel was my third move & the third time was the charm!!! 😌 They were even able to send a car to pick me up from the Airbnb to take me to the hotel.

The receptionist was extremely helpful my entire stay!!!! I stayed for seven days & enjoyed myself immensely. The receptionist even worked it out where I didn't have to move out on the night that they were fully booked👏🏾👏🏾

The room was amazing & the food at the restaurant was ON POINT‼️ Perfect place to stay when visiting Cape Coast for sure!! ALL of the staff was WONDERFUL!! I spent a lot of $ in tips while staying here because the service all around was absolutely perfect 💯‼️

The free breakfast is a great introduction to Ghanaian foods. You have the option to eat at the buffet every day, all day, but you also have the option of ordering from their menu. I only ate the breakfast buffet & ordered from the menu the rest of the day. Their sandwiches are to die for!! 😋🤤 The only criticism I have about ordering from the menu is the consistency of the dishes. For instance, I ordered the Tuna Sandwich two days in a row, but they were COMPLETELY different each time 🤔. Both were so good tho LOL

This will forever be my go-to hotel while in Cape Coast, hands down!!!"
3343,nan
3344,nan
3345,"Ridge Royal Hotel is one of the best hotels in Cape Coast...but recently I saw something at the entrance that I wasn't pleased with. The way the dispose of their refuse is very bad. I hope they do something about it.
It's right at the front of their entrance and it not a pleasing sight. And it gives off a foul smell. I really hope they fix it. But apart from that I really love the place."
3346,"Very very terrible service. Check in was supposed to be at 3pm, as at 5pm, the room was still not ready. Man at the front desk was very very unhelpful and unapologetic for the delay. The rooms are beautiful, no two ways about that."
3347,nan
3348,nan
3349,nan
3350,nan
3351,nan
3352,"The pool, architecture, and design are nice.  I was visiting Cape Coast, and we did a pool day.

The water had too much chlorine, but aside from our red eyes, the ambiance was nice.

The deejay was great and even accommodated a special song request. It was a great day the pool."
3353,"The ambience, environment, aesthetic beauty and the high level services of the Hotel is phenomenal and deserves international commendation. Congratulations to the management and staff of Ridge Royal Hotel, Cape Coast."
3354,nan
3355,nan
3356,nan
3357,nan
3358,"Homely environment away from home. Very cozy and comfortable rooms that make you feel like you're in dreamland and a service that make your feel like a king 👑 or queen 👑 that you are.
Location is Cape Coast, 2nd Ridge with a serene environment."
3359,nan
3360,nan
3361,"I visited during covid so there was almost no one there. I really enjoyed the grilled prawns and the food didn’t take as long as I expected.

Update: The top rooms are so big and spacious. Food was great and service was good"
3362,nan
3363,Very beautiful and spacious place
3364,nan
3365,A very nice environment
3366,nan
3367,nan
3368,nan
3369,nan
3370,nan
3371,nan
3372,nan
3373,It was better than most hotels in the area. Amy and Felix were professional and courteous and the main reason I stayed after moving rooms 3 times for various issues.
3374,Comfort and serene environment
3375,nan
3376,nan
3377,Very great Hotel and affordable for budget travellers in Cape Coast
3378,nan
3379,Best place to sleep when you are in cape coast and it environment
3380,Very cozy and quiet place.
3381,Beautiful place
3382,nan
